sample_id,site,date,fish,length_mm,pic_1,pic_2
252,little bridge,6/27/2019,creek chub,148,022.jpeg,023.jpeg
202,spirit mound,6/28/2019,creek chub,73,,
207,spirit mound,6/28/2019,creek chub,73,,
201,spirit mound,6/28/2019,sand shiner,79,,
258,spirit mound,6/28/2019,creek chub,120,012.jpeg,013.jpeg
260,gunderson,6/28/2019,bluegill,64,,
261,gunderson,6/28/2019,bluegill,59,,
256,spirit mound,6/28/2019,creek chub,127,021.jpeg,022.jpeg
253,spirit mound,6/28/2019,creek chub,148,,
243,spirit mound,6/28/2019,fathead minnow,58 or 43,,
265,gunderson,6/28/2019,walleye,58,,
223,spirit mound,6/14/2019,creek chub,96,,
267,burbank,6/27/2019,bigmouth buffalo,31,,
268,burbank,7/10/2019,common carp,43,,
293,spirit mound,7/10/2019,bigmouth buffalo,39,,
270,burbank,7/10/2019,spotfin shiner,57,,
390,little bridge,7/10/2019,bigmouth buffalo,43,,
278,little bridge,7/10/2019,bigmouth buffalo,44,,
372,spirit mound,7/10/2019,bigmouth buffalo,39,,
387,little bridge,7/10/2019,bigmouth buffalo,44,,
335,little bridge,7/10/2019,bigmouth buffalo,45,,
276,burbank,7/10/2019,common carp,55,,
277,little bridge,7/10/2019,johnny darter,46,,
288,little bridge,7/10/2019,fathead minnow,49,,
298,spirit mound,7/10/2019,bigmouth buffalo,43,,
368,little bridge,7/10/2019,fathead minnow,49,,
541,little bridge,7/10/2019,bigmouth buffalo,49,,
322,spirit mound,7/10/2019,bigmouth buffalo,44,,
301,little bridge,7/10/2019,fathead minnow,50,,
272,little bridge,7/10/2019,johnny darter,51,,
282,spirit mound,7/10/2019,bigmouth buffalo,48,,
289,spirit mound,7/10/2019,bigmouth buffalo,49,,
294,little bridge,7/10/2019,green sunfish,51,,
361,little bridge,7/10/2019,green sunfish,51,,
364,spirit mound,7/10/2019,bigmouth buffalo,49,,
362,spirit mound,7/10/2019,common carp,51,,
386,spirit mound,7/10/2019,fathead minnow,53,,
299,little bridge,7/10/2019,fathead minnow,52,,
286,spirit mound,7/10/2019,black bullhead catfish,54,,
281,little bridge,7/10/2019,johnny darter,53,,
359,spirit mound,7/10/2019,bigmouth buffalo,56,,
269,spirit mound,7/10/2019,bigmouth buffalo,58,,
287,little bridge,7/10/2019,green sunfish,53,,
296,spirit mound,7/10/2019,bigmouth buffalo,60,,
297,little bridge,7/10/2019,bigmouth buffalo,53,,
300,little bridge,7/10/2019,johnny darter,53,,
394,little bridge,7/10/2019,bigmouth buffalo,54,,
302,spirit mound,7/10/2019,bluegill,60,,
304,little bridge,7/10/2019,sand shiner,55,,
358,little bridge,7/10/2019,bigmouth buffalo,56,,
305,burbank,7/17/2019,bigmouth buffalo,94,,
306,burbank,7/17/2019,bigmouth buffalo,45,,
307,gunderson,7/17/2019,bluegill,155,,
308,gunderson,7/17/2019,bigmouth buffalo,58,,
309,burbank,7/17/2019,bigmouth buffalo,51,,
310,burbank,7/17/2019,bigmouth buffalo,47,,
311,burbank,7/17/2019,smallmouth buffalo,47,,
312,burbank,7/17/2019,common carp,65,,
313,burbank,7/17/2019,fathead minnow,49,,
314,gunderson,7/17/2019,spotfin shiner,46,,
315,burbank,7/17/2019,common carp,85,,
316,burbank,7/17/2019,common carp,45,,
317,burbank,7/17/2019,bluegill,61,,
318,spirit mound,7/17/2019,creek chub,61,,
319,burbank,7/17/2019,smallmouth buffalo,46,,
320,gunderson,7/17/2019,bigmouth buffalo,48,,
321,gunderson,7/17/2019,bluegill,50,,
285,spirit mound,7/10/2019,creek chub,61,,
323,burbank,7/17/2019,bigmouth buffalo,52,,
324,burbank,7/17/2019,common carp,70,,
325,burbank,7/17/2019,bigmouth buffalo,54,,
290,spirit mound,7/10/2019,bigmouth buffalo,65,,
327,burbank,7/17/2019,smallmouth buffalo,51,,
328,burbank,7/17/2019,common carp,36,,
363,little bridge,7/10/2019,bigmouth buffalo,57,,
330,burbank,7/17/2019,smallmouth buffalo,49,,
331,burbank,7/17/2019,bigmouth buffalo,46,,
332,burbank,7/17/2019,common carp,44,,
333,burbank,7/17/2019,bluegill,94,,
291,spirit mound,7/10/2019,common shiner,67,,
435,little bridge,7/10/2019,common shiner,64,,
345,little bridge,7/25/2019,bigmouth buffalo,48,,
557,little bridge,7/25/2019,johnny darter,48,,
405,little bridge,7/25/2019,common shiner,49,,
480,little bridge,7/25/2019,johnny darter,50,,
338,little bridge,7/25/2019,johnny darter,51,,
341,burbank,7/17/2019,common carp,110,,
284,little bridge,7/10/2019,common carp,65,,
477,little bridge,7/25/2019,johnny darter,52,,
339,little bridge,7/25/2019,johnny darter,53,,
340,little bridge,7/25/2019,johnny darter,53,,
501,little bridge,7/25/2019,johnny darter,53,,
336,little bridge,7/25/2019,johnny darter,55,,
334,spirit mound,7/10/2019,common shiner,67,,
487,little bridge,7/25/2019,johnny darter,55,,
398,little bridge,7/25/2019,johnny darter,56,,
484,little bridge,7/25/2019,johnny darter,56,,
337,little bridge,7/25/2019,johnny darter,57,,
343,little bridge,7/25/2019,smallmouth buffalo,57,,
354,burbank,7/25/2019,black bullhead catfish,61,,
355,burbank,7/10/2019,gar,73,,
356,burbank,7/17/2019,bigmouth buffalo,47,,
378,little bridge,7/10/2019,common carp,65,,
329,little bridge,7/10/2019,common shiner,66,,
396,spirit mound,7/10/2019,common shiner,72,,
271,little bridge,7/10/2019,creek chub,68,,
438,little bridge,7/10/2019,creek chub,69,,
397,spirit mound,7/10/2019,common carp,72,051.jpeg,052.jpeg
280,little bridge,7/10/2019,creek chub,70,,
367,spirit mound,7/10/2019,common carp,74,,
357,little bridge,7/10/2019,common carp,70,,
366,gunderson,7/17/2019,spotfin shiner,48,,
392,spirit mound,7/10/2019,common shiner,79,,
383,little bridge,7/10/2019,creek chub,70,,
440,little bridge,7/10/2019,common shiner,70,,
283,little bridge,7/10/2019,common shiner,71,,
371,burbank,7/10/2019,bigmouth buffalo,52,,
326,spirit mound,7/10/2019,common shiner,83,,
